companyId;companyName;ticker;price;p_L;dy;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;receitas_Cagr5;lucros_Cagr5;liquidezMediaDiaria;vpa;lpa;valorMercado
496;NEOENERGIA;NEOE3;15,08;4,1358;6,1182;0,6823;2,0309;0,1985;5,9721;28,89;20,82;10,23;0,4229;3,5361;-0,2622;0,47;16,5;4,8;11,7;1,33;3,95;0,29;0,71;1,3;1,34255518;23,82;70,91;18880183,54;22,0589;3,639;18219096692,48
249;SMILES;SMLS3;22,4;10,7799;;4,0919;10,1675;1,017;9,9309;85,18;41,42;39,07;4,2118;18,7779;-2,5439;0,24;37,96;9,43;24,47;-0,1;-0,24;0,25;0,75;1,1;-0,32678803;;;;5,4743;2,0779;2781160547,2
167;ETERNIT;ETER3;14,47;5,0568;6,9256;1,3558;3,8887;0,7536;3,9221;35,44;19,76;15,19;0,7682;2,0762;-1,8729;0,98;26,81;14,9;23,98;0,02;0,05;0,56;0,44;2,55;-0,10640235;6,3;;6461867,92;10,6801;2,8635;890818211,5
466;ELEKTRO;EKTR3;32,0;5,8219;22,0944;2,0389;3,2858;0,5992;5,6407;26,22;22,02;12,43;0,7235;5,6111;-0,8943;0,83;35,02;10,29;17,99;1,36;2,19;0,29;0,71;1,48;0,14593985;12,33;24,81;6128,6;15,6947;5,4965;6512044056,58
466;ELEKTRO;EKTR4;35,06;6,3786;22,1826;2,2339;3,6;0,6565;5,6407;26,22;22,02;12,43;0,7927;6,1477;-0,9798;0,83;35,02;10,29;17,99;1,36;2,19;0,29;0,71;1,48;0,15989534;12,33;24,81;11884,89;15,6947;5,4965;6512044056,58
324;ALFA HOLDINGS;RPAD3;6,59;8,8635;0,0106;0,5206;9,7752;0,5183;9,238;;;;;8,9451;-0,5527;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,03877487;;4,39;2886,14;12,6595;0,7435;592859726,01
324;ALFA HOLDINGS;RPAD6;6,69;8,998;0,0115;0,5285;9,9235;0,5262;9,238;;;;;9,0808;-0,561;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,03936326;;4,39;3685,0;12,6595;0,7435;592859726,01
324;ALFA HOLDINGS;RPAD5;7,49;10,074;7,6611;0,5917;11,1102;0,5891;9,238;;;;;10,1667;-0,6281;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,04407038;;4,39;5520,0;12,6595;0,7435;592859726,01
294;MARFRIG;MRFG3;7,89;0,9544;28,5179;0,7452;0,3865;0,0388;3,4289;15,93;11,48;4,65;0,0444;0,4945;-0,0607;0,87;78,08;4,07;14,51;5,87;3,04;0,05;0,78;1,28;0,07920572;35,31;;91472678,04;10,5748;8,2566;5167800000,0
387;ELEKEIROZ;ELEK4;36,99;47,3372;;5,1458;42,4755;2,066;38,7625;11,39;2,82;2,53;1,1985;7,2604;-5,0247;1,72;10,87;4,36;4,38;0,7;5,75;0,4;0,6;1,94;-0,67720399;1,48;;;7,1884;0,7814;905051916,3
387;ELEKEIROZ;ELEK3;19,11;24,4556;;2,6585;21,944;1,0673;38,7625;11,39;2,82;2,53;0,6192;3,7509;-2,5959;1,72;10,87;4,36;4,38;0,7;5,75;0,4;0,6;1,94;-0,34986127;1,48;;;7,1884;0,7814;905051916,3
260;TECHNOS;TECN3;2,23;4,5999;3,661;0,4869;2,817;0,2643;3,3542;53,19;16,71;10,23;0,4708;0,5314;-0,7525;0,56;10,58;5,74;11,98;0,1;0,58;0,54;0,46;4,28;0,02521961;-2,72;;807712,63;4,6009;0,487;164658735,15
